filename,label
devel_006.wav,positive
devel_126.wav,negative
devel_123.wav,positive
devel_095.wav,negative
devel_203.wav,negative
devel_204.wav,negative
devel_053.wav,negative
devel_152.wav,negative
devel_115.wav,negative
devel_155.wav,negative
devel_100.wav,negative
devel_025.wav,positive
devel_068.wav,positive
devel_106.wav,negative
devel_222.wav,positive
devel_221.wav,positive
devel_036.wav,negative
devel_083.wav,negative
devel_023.wav,negative
devel_128.wav,negative
devel_094.wav,negative
devel_030.wav,negative
devel_182.wav,positive
devel_079.wav,negative
devel_166.wav,negative
devel_084.wav,positive
devel_209.wav,negative
devel_124.wav,negative
devel_228.wav,negative
devel_150.wav,negative
devel_133.wav,negative
devel_051.wav,positive
devel_179.wav,negative
devel_071.wav,negative
devel_193.wav,positive
devel_229.wav,negative
devel_120.wav,negative
devel_097.wav,negative
devel_177.wav,negative
devel_107.wav,negative
devel_085.wav,positive
devel_009.wav,negative
devel_161.wav,negative
devel_134.wav,negative
devel_042.wav,negative
devel_171.wav,negative
devel_031.wav,negative
devel_131.wav,negative
devel_215.wav,negative
devel_186.wav,negative
devel_105.wav,negative
devel_005.wav,negative
devel_063.wav,negative
devel_135.wav,negative
devel_148.wav,negative
devel_046.wav,negative
devel_043.wav,negative
devel_070.wav,positive
devel_118.wav,positive
devel_219.wav,negative
devel_086.wav,negative
devel_140.wav,negative
devel_058.wav,negative
devel_024.wav,negative
devel_146.wav,negative
devel_117.wav,negative
devel_112.wav,negative
devel_188.wav,negative
devel_194.wav,positive
devel_074.wav,negative
devel_129.wav,negative
devel_081.wav,negative
devel_205.wav,negative
devel_072.wav,positive
devel_077.wav,negative
devel_227.wav,negative
devel_202.wav,positive
devel_168.wav,negative
devel_096.wav,negative
devel_052.wav,negative
devel_047.wav,positive
devel_008.wav,negative
devel_012.wav,negative
devel_113.wav,negative
devel_192.wav,negative
devel_057.wav,negative
devel_111.wav,negative
devel_216.wav,negative
devel_002.wav,negative
devel_178.wav,negative
devel_021.wav,negative
devel_213.wav,positive
devel_055.wav,negative
devel_065.wav,negative
devel_027.wav,negative
devel_013.wav,negative
devel_212.wav,negative
devel_187.wav,negative
devel_169.wav,negative
devel_034.wav,negative
devel_130.wav,negative
devel_125.wav,negative
devel_044.wav,negative
devel_038.wav,negative
devel_064.wav,negative
devel_028.wav,negative
devel_101.wav,negative
devel_092.wav,negative
devel_211.wav,positive
devel_016.wav,negative
devel_220.wav,negative
devel_162.wav,negative
devel_039.wav,negative
devel_114.wav,positive
devel_149.wav,negative
devel_231.wav,negative
devel_041.wav,negative
devel_180.wav,negative
devel_076.wav,negative
devel_104.wav,negative
devel_054.wav,negative
devel_102.wav,negative
devel_018.wav,negative
devel_109.wav,negative
devel_160.wav,negative
devel_206.wav,negative
devel_045.wav,positive
devel_207.wav,negative
devel_183.wav,negative
devel_040.wav,negative
devel_069.wav,negative
devel_147.wav,negative
devel_230.wav,positive
devel_067.wav,negative
devel_214.wav,negative
devel_176.wav,negative
devel_019.wav,positive
devel_073.wav,negative
